City,ISO3,country,country_num,year,population,GDP_USD,gdp_per_capita,home_adv,tot_gold,tot_silver,tot_bronze,tot_medals,last_medals,secondLast_medals
Moskva,AFG,Afghanistan,1,1980,13248370,3641723322,274,0,0,0,0,0,0,0
Athina,AFG,Afghanistan,1,2004,24118979,5285465686,219,0,0,0,0,0,0,0
Beijing,AFG,Afghanistan,1,2008,27294031,10190529882,373,0,0,0,1,1,0,0
London,AFG,Afghanistan,1,2012,30696958,20536542737,669,0,0,0,1,1,1,0
Rio de Janeiro,AFG,Afghanistan,1,2016,34656032,19469022208,561,0,0,0,0,0,1,1
Beijing,ALB,Albania,2,2008,2947314,12881352688,4370,0,0,0,0,0,0,0
London,ALB,Albania,2,2012,2900401,12319784787,4247,0,0,0,0,0,0,0
Rio de Janeiro,ALB,Albania,2,2016,2876101,11863865978,4124,0,0,0,0,0,0,0
Los Angeles,DZA,Algeria,3,1984,21893853,53698278906,2452,0,0,0,2,2,0,0
Seoul,DZA,Algeria,3,1988,24591492,59089067187,2402,0,0,0,0,0,2,0
Barcelona,DZA,Algeria,3,1992,27181094,48003298223,1766,0,1,0,1,2,0,2
Atlanta,DZA,Algeria,3,1996,29411415,46941496780,1596,0,2,0,1,3,2,0
Sydney,DZA,Algeria,3,2000,31183660,54790245601,1757,0,1,1,3,5,3,2
Athina,DZA,Algeria,3,2004,32831096,85324998814,2598,0,0,0,0,0,5,3
Beijing,DZA,Algeria,3,2008,34860715,171000691878,4905,0,0,1,1,2,0,5
London,DZA,Algeria,3,2012,37565847,209058991952,5565,0,1,0,0,1,2,0
Rio de Janeiro,DZA,Algeria,3,2016,40606052,159049096745,3916,0,0,2,0,2,1,2
Barcelona,AND,Andorra,5,1992,58888,1210013652,20547,0,0,0,0,0,0,0
Atlanta,AND,Andorra,5,1996,64360,1223945357,19017,0,0,0,0,0,0,0
Sydney,AND,Andorra,5,2000,65390,1434429703,21936,0,0,0,0,0,0,0
Athina,AND,Andorra,5,2004,76244,2935659300,38503,0,0,0,0,0,0,0
Beijing,AND,Andorra,5,2008,83861,4007353157,47785,0,0,0,0,0,0,0
London,AND,Andorra,5,2012,82431,3164615187,38391,0,0,0,0,0,0,0
Rio de Janeiro,AND,Andorra,5,2016,77281,2858517699,36988,0,0,0,0,0,0,0
Athina,AGO,Angola,6,2004,18865716,19640848729,1041,0,0,0,0,0,0,0
Beijing,AGO,Angola,6,2008,21759420,84178032716,3868,0,0,0,0,0,0,0
London,AGO,Angola,6,2012,25096150,115398371428,4598,0,0,0,0,0,0,0
Rio de Janeiro,AGO,Angola,6,2016,28813463,95335111741,3308,0,0,0,0,0,0,0
Sydney,ATG,Antigua & Barbuda,7,2000,83584,830158769,9932,0,0,0,0,0,0,0
Athina,ATG,Antigua & Barbuda,7,2004,88257,919577143,10419,0,0,0,0,0,0,0
Beijing,ATG,Antigua & Barbuda,7,2008,92478,1368431037,14797,0,0,0,0,0,0,0
London,ATG,Antigua & Barbuda,7,2012,96777,1211411704,12517,0,0,0,0,0,0,0
Rio de Janeiro,ATG,Antigua & Barbuda,7,2016,100963,1460144704,14462,0,0,0,0,0,0,0
Los Angeles,ARG,Argentina,8,1984,29920904,79092001998,2643,0,0,0,0,0,0,1
Seoul,ARG,Argentina,8,1988,31795517,126206817196,3969,0,0,1,1,2,0,0
Barcelona,ARG,Argentina,8,1992,33655151,228788617202,6798,0,0,0,1,1,2,0
Atlanta,ARG,Argentina,8,1996,35419682,27214975e4,7683,0,0,2,1,3,1,2
Sydney,ARG,Argentina,8,2000,37057452,28420375e4,7669,0,0,2,2,4,3,1
Athina,ARG,Argentina,8,2004,38728696,164657930453,4251,0,2,0,4,6,4,3
Beijing,ARG,Argentina,8,2008,40382389,361558037110,8953,0,2,0,4,6,6,4
London,ARG,Argentina,8,2012,42096739,545982375701,12969,0,1,1,2,4,6,6
Rio de Janeiro,ARG,Argentina,8,2016,43847430,545476103427,12440,0,3,1,0,4,4,6
London,ARM,Armenia,9,2012,2881922,10619320049,3684,0,0,1,2,3,6,0
Rio de Janeiro,ARM,Armenia,9,2016,2924816,10572298342,3614,0,1,3,0,4,3,6
Montreal,AUS,Australia,11,1976,14033e3,104974158578,7480,0,0,1,4,5,17,17
Moskva,AUS,Australia,11,1980,14692e3,149887465181,10201,0,2,2,5,9,5,17
Los Angeles,AUS,Australia,11,1984,15544e3,193503894222,12448,0,4,8,12,24,9,5
Seoul,AUS,Australia,11,1988,16532200,236135768335,14283,0,3,6,5,14,24,9
Barcelona,AUS,Australia,11,1992,17495e3,325692532493,18616,0,7,9,11,27,14,24
Atlanta,AUS,Australia,11,1996,18311e3,401819423369,21944,0,9,9,23,41,27,14
Sydney,AUS,Australia,11,2000,19153e3,415446209885,21690,1,16,25,17,58,41,27
Athina,AUS,Australia,11,2004,20127400,613329776640,30472,0,17,16,17,50,58,41
Beijing,AUS,Australia,11,2008,21249200,1055334825425,49664,0,14,15,17,46,50,58
London,AUS,Australia,11,2012,22728254,1538194473087,67677,0,7,16,12,35,46,50
Rio de Janeiro,AUS,Australia,11,2016,24127159,1204616439828,49927,0,8,11,10,29,35,46
Montreal,AUT,Austria,12,1976,7565525,42959976068,5678,0,0,0,1,1,3,4
Moskva,AUT,Austria,12,1980,7549433,82058912465,10869,0,1,2,1,4,1,3
Los Angeles,AUT,Austria,12,1984,7561434,67985345162,8991,0,1,1,1,3,4,1
Seoul,AUT,Austria,12,1988,7585317,133339397080,17578,0,1,0,0,1,3,4
Barcelona,AUT,Austria,12,1992,7840709,195078126346,24880,0,0,2,0,2,1,3
Atlanta,AUT,Austria,12,1996,7959017,237250948791,29809,0,0,1,2,3,2,1
Sydney,AUT,Austria,12,2000,8011566,196799778883,24564,0,2,1,0,3,3,2
Athina,AUT,Austria,12,2004,8171966,300904221505,36821,0,2,4,1,7,3,3
Beijing,AUT,Austria,12,2008,8321496,430294287388,51708,0,0,1,2,3,7,3
London,AUT,Austria,12,2012,8429991,409425234155,48567,0,0,0,0,0,3,7
Rio de Janeiro,AUT,Austria,12,2016,8747358,390799991147,44676,0,0,0,1,1,0,3
London,AZE,Azerbaijan,13,2012,9295784,69684317719,7496,0,2,2,6,10,7,5
Rio de Janeiro,AZE,Azerbaijan,13,2016,9762274,37847715736,3876,0,1,7,10,18,10,7
Montreal,BHS,Bahamas,14,1976,192902,6421e5,3328,0,0,0,0,0,0,0
Los Angeles,BHS,Bahamas,14,1984,230015,20411e5,8873,0,0,0,0,0,0,0
Seoul,BHS,Bahamas,14,1988,247579,28179e5,11381,0,0,0,0,0,0,0
Barcelona,BHS,Bahamas,14,1992,266134,3109e6,11682,0,0,0,1,1,0,0
Atlanta,BHS,Bahamas,14,1996,283790,3609e6,12717,0,0,1,0,1,1,0
Sydney,BHS,Bahamas,14,2000,297890,6327552e3,21241,0,2,0,1,3,1,1
Athina,BHS,Bahamas,14,2004,322526,7094413e3,21996,0,1,0,1,2,3,1
Beijing,BHS,Bahamas,14,2008,348676,8247e6,23652,0,0,1,1,2,2,3
London,BHS,Bahamas,14,2012,372039,107205e5,28815,0,1,0,0,1,2,2
Rio de Janeiro,BHS,Bahamas,14,2016,391232,112618e5,28785,0,1,0,1,2,1,2
Sydney,BHR,Bahrain,15,2000,664614,9062906915,13636,0,0,0,0,0,0,0
Athina,BHR,Bahrain,15,2004,829848,13150166755,15846,0,0,0,0,0,0,0
Beijing,BHR,Bahrain,15,2008,1114590,25710877660,23067,0,0,0,0,0,0,0
London,BHR,Bahrain,15,2012,1300217,30749308511,23649,0,0,0,1,1,0,0
Rio de Janeiro,BHR,Bahrain,15,2016,1425171,32179069149,22579,0,1,1,0,2,1,0
Sydney,BGD,Bangladesh,16,2000,131581243,53369787319,405,0,0,0,0,0,0,0
Athina,BGD,Bangladesh,16,2004,141307489,65108544250,460,0,0,0,0,0,0,0
Beijing,BGD,Bangladesh,16,2008,148805814,91631278239,615,0,0,0,0,0,0,0
London,BGD,Bangladesh,16,2012,155727053,133355749482,856,0,0,0,0,0,0,0
Rio de Janeiro,BGD,Bangladesh,16,2016,162951560,221415162446,1358,0,0,0,0,0,0,0
Beijing,BRB,Barbados,17,2008,277319,46073e5,16613,0,0,0,0,0,0,1
London,BRB,Barbados,17,2012,281585,465635e4,16536,0,0,0,0,0,0,0
Rio de Janeiro,BRB,Barbados,17,2016,284996,452905e4,15891,0,0,0,0,0,0,0
London,BLR,Belarus,18,2012,9464495,65685102555,6940,0,2,5,5,12,18,13
Rio de Janeiro,BLR,Belarus,18,2016,9507120,47407217531,4986,0,1,4,4,9,12,18
Montreal,BEL,Belgium,19,1976,9818227,71494539498,7281,0,0,3,3,6,2,2
Moskva,BEL,Belgium,19,1980,9859242,127508202373,12932,0,1,0,0,1,6,2
Los Angeles,BEL,Belgium,19,1984,9855372,83795680815,8502,0,1,1,2,4,1,6
Seoul,BEL,Belgium,19,1988,9901664,163167853538,16478,0,0,0,2,2,4,1
Barcelona,BEL,Belgium,19,1992,10045158,236038384442,23497,0,0,1,2,3,2,4
Atlanta,BEL,Belgium,19,1996,10156637,281358175896,27701,0,2,2,2,6,3,2
Sydney,BEL,Belgium,19,2000,10251250,237904919845,23207,0,0,2,3,5,6,3
Athina,BEL,Belgium,19,2004,10421137,370885026074,35589,0,1,0,2,3,5,6
Beijing,BEL,Belgium,19,2008,10709973,518625897173,48424,0,1,1,0,2,3,5
London,BEL,Belgium,19,2012,11128246,497884216569,44740,0,0,1,2,3,2,3
Rio de Janeiro,BEL,Belgium,19,2016,11348159,467955709818,41236,0,2,2,2,6,3,2
Seoul,BLZ,Belize,20,1988,179028,3149e5,1758,0,0,0,0,0,0,0
Barcelona,BLZ,Belize,20,1992,194317,518239100,2666,0,0,0,0,0,0,0
Atlanta,BLZ,Belize,20,1996,213676,641383800,3001,0,0,0,0,0,0,0
Sydney,BLZ,Belize,20,2000,247315,832072450,3364,0,0,0,0,0,0,0
Athina,BLZ,Belize,20,2004,276089,1057845500,3831,0,0,0,0,0,0,0
Beijing,BLZ,Belize,20,2008,306165,1368625150,4470,0,0,0,0,0,0,0
