,City,ISO3,country,country_num,year,population,GDP_USD,gdp_per_capita,home_adv,tot_gold,tot_silver,tot_bronze,tot_medals,last_medals,secondLast_medals,predictions_gold,predictions_silver,predictions_bronze
6,Rio de Janeiro,AFG,Afghanistan,1,2016,34656032.0,19469022208.0,561,0,0,0,0,0,1,1,0.0,0.0,0.0
11,Rio de Janeiro,ALB,Albania,2,2016,2876101.0,11863865978.0,4124,0,0,0,0,0,0,0,0.0,0.0,0.0
22,Rio de Janeiro,DZA,Algeria,3,2016,40606052.0,159049096745.0,3916,0,0,2,0,2,1,2,3.0,1.0,1.0
24,Rio de Janeiro,ASM,American Samoa,4,2016,55599.0,658000000.0,11834,0,0,0,0,0,0,0,0.0,0.0,0.0
33,Rio de Janeiro,AND,Andorra,5,2016,77281.0,2858517699.0,36988,0,0,0,0,0,0,0,0.0,0.0,0.0
39,Rio de Janeiro,AGO,Angola,6,2016,28813463.0,95335111741.0,3308,0,0,0,0,0,0,0,0.0,0.0,0.0
46,Rio de Janeiro,ATG,Antigua & Barbuda,7,2016,100963.0,1460144704.0,14462,0,0,0,0,0,0,0,0.0,0.0,0.0
57,Rio de Janeiro,ARG,Argentina,8,2016,43847430.0,545476103427.0,12440,0,3,1,0,4,4,6,1.0,0.0,1.0
61,Rio de Janeiro,ARM,Armenia,9,2016,2924816.0,10572298342.0,3614,0,1,3,0,4,3,6,1.0,1.0,1.0
76,Rio de Janeiro,AUS,Australia,11,2016,24127159.0,1204616439828.0,49927,0,8,11,10,29,35,46,7.0,9.0,12.0
89,Rio de Janeiro,AUT,Austria,12,2016,8747358.0,390799991147.0,44676,0,0,0,1,1,0,3,0.0,0.0,0.0
93,Rio de Janeiro,AZE,Azerbaijan,13,2016,9762274.0,37847715736.0,3876,0,1,7,10,18,10,7,2.0,6.0,7.0
105,Rio de Janeiro,BHS,Bahamas,14,2016,391232.0,11261800000.0,28785,0,1,0,1,2,1,2,1.0,2.0,0.0
112,Rio de Janeiro,BHR,Bahrain,15,2016,1425171.0,32179069149.0,22579,0,1,1,0,2,1,0,0.0,0.0,0.0
119,Rio de Janeiro,BGD,Bangladesh,16,2016,162951560.0,221415162446.0,1358,0,0,0,0,0,0,0,0.0,0.0,0.0
124,Rio de Janeiro,BRB,Barbados,17,2016,284996.0,4529050000.0,15891,0,0,0,0,0,0,0,0.0,0.0,0.0
128,Rio de Janeiro,BLR,Belarus,18,2016,9507120.0,47407217531.0,4986,0,1,4,4,9,12,18,4.0,5.0,9.0
141,Rio de Janeiro,BEL,Belgium,19,2016,11348159.0,467955709818.0,41236,0,2,2,2,6,3,2,2.0,1.0,2.0
151,Rio de Janeiro,BLZ,Belize,20,2016,366954.0,1741100000.0,4744,0,0,0,0,0,0,0,0.0,0.0,0.0
160,Rio de Janeiro,BEN,Benin,21,2016,10872298.0,8583031398.0,789,0,0,0,0,0,0,0,0.0,0.0,0.0
178,Rio de Janeiro,BTN,Bhutan,23,2016,797765.0,2212638830.0,2773,0,0,0,0,0,0,0,0.0,0.0,0.0
189,Rio de Janeiro,BOL,Bolivia,24,2016,10887882.0,33806395514.0,3104,0,0,0,0,0,0,0,1.0,0.0,0.0
193,Rio de Janeiro,BIH,Bosnia & Herzegovina,25,2016,3516816.0,16910277134.0,4808,0,0,0,0,0,0,0,1.0,0.0,0.0
