country,Gold,Silver,Bronze,Total
Afghanistan,0,0,0,0
Albania,0,0,0,0
Algeria,0,1,1,2
Angola,0,1,1,2
Antigua & Barbuda,0,0,0,0
Argentina,1,2,4,7
Armenia,0,1,1,2
Australia,9,11,10,30
Austria,0,0,0,0
Azerbaijan,8,3,6,17
Bahamas,0,1,1,2
Bahrain,1,0,1,2
Bangladesh,0,0,0,0
Barbados,0,0,0,0
Belarus,2,4,1,7
Belgium,0,4,2,6
Belize,0,0,0,0
Benin,0,0,0,0
Bhutan,0,0,1,1
Bolivia,0,0,0,0
Bosnia & Herzegovina,0,1,0,1
Botswana,0,0,1,1
Brazil,7,5,6,18
Brunei,0,0,0,0
Bulgaria,3,1,0,4
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
CÃ´te dâ€™Ivoire,0,0,1,1
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,4,3,12,19
Cape Verde,0,0,0,0
Central African Republic,0,0,0,0
Chad,0,0,0,0
Chile,0,0,1,1
China,26,10,35,71
Colombia,1,3,2,6
Comoros,1,0,0,1
Congo - Brazzaville,0,0,1,1
Congo - Kinshasa,0,0,0,0
Costa Rica,0,0,0,0
Croatia,3,2,1,6
Cyprus,0,0,2,2
Czechia,1,5,1,7
Denmark,9,2,5,16
Dominica,0,0,0,0
Dominican Republic,2,0,0,2
Ecuador,0,0,0,0
El Salvador,0,0,0,0
Equatorial Guinea,1,0,0,1
Estonia,0,1,0,1
Ethiopia,1,2,3,6
Fiji,0,0,0,0
Finland,4,3,2,9
France,11,11,14,36
Gabon,0,0,1,1
Gambia,0,0,0,0
Georgia,2,4,4,10
Germany,17,10,15,42
Ghana,0,1,0,1
Greece,1,1,3,5
Grenada,0,1,0,1
Guatemala,0,0,0,0
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,0
Honduras,0,0,0,0
Hungary,3,5,2,10
Iceland,0,0,0,0
India,1,1,0,2
Indonesia,0,2,3,5
Iran,2,4,1,7
Iraq,0,0,0,0
Ireland,4,4,0,8
Israel,0,0,1,1
Italy,19,12,8,39
Jamaica,4,2,2,8
Japan,17,10,19,46
Jordan,0,0,0,0
Kazakhstan,0,5,3,8
Kenya,7,5,2,14
Kiribati,0,0,0,0
Kyrgyzstan,0,0,0,0
Laos,1,0,0,1
Latvia,1,0,1,2
Lebanon,0,0,1,1
Lesotho,0,0,1,1
Liberia,0,0,0,0
Lithuania,0,1,7,8
Luxembourg,0,0,0,0
Macedonia,0,0,0,0
Madagascar,0,0,0,0
Malawi,0,0,0,0
Malaysia,2,3,4,9
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,0,0,0
Mexico,1,0,1,2
Micronesia (Federated States of),0,0,0,0
Moldova,1,0,0,1
Mongolia,0,0,3,3
Montenegro,0,0,0,0
Morocco,1,0,0,1
Mozambique,0,0,1,1
Myanmar (Burma),0,0,0,0
Namibia,0,0,0,0
Nauru,0,0,0,0
Nepal,0,1,0,1
Netherlands,7,7,4,18
New Zealand,0,2,2,4
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0,0,0
Norway,0,0,1,1
Oman,0,0,0,0
Palau,0,0,0,0
Panama,0,0,0,0
Papua New Guinea,0,0,0,0
Paraguay,0,0,0,0
Peru,0,0,0,0
Philippines,0,0,1,1
Poland,2,18,6,26
Portugal,0,0,1,1
Qatar,0,0,1,1
Romania,0,0,0,0
Russia,13,17,32,62
Rwanda,0,0,0,0
SÃ£o TomÃ© & PrÃ­ncipe,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0
Saudi Arabia,1,0,1,2
Senegal,0,0,0,0
Serbia,4,2,0,6
Seychelles,0,0,0,0
Sierra Leone,0,0,0,0
Singapore,4,0,2,6
Slovakia,1,0,0,1
Slovenia,2,1,2,5
Solomon Islands,0,0,0,0
South Africa,1,2,4,7
South Korea,5,5,12,22
Spain,4,7,15,26
Sri Lanka,0,0,0,0
St. Kitts & Nevis,0,0,0,0
St. Lucia,0,0,0,0
St. Vincent & Grenadines,0,0,0,0
Sudan,0,0,0,0
Suriname,0,0,0,0
Swaziland,0,0,0,0
Sweden,10,18,1,29
Switzerland,0,6,2,8
Tajikistan,0,0,0,0
Tanzania,0,0,0,0
Thailand,2,4,1,7
Timor-Leste,0,0,0,0
Togo,0,0,0,0
Tonga,0,0,0,0
Trinidad & Tobago,1,1,1,3
Tunisia,0,0,3,3
Turkey,0,3,4,7
Turkmenistan,0,0,0,0
Tuvalu,0,0,0,0
Uganda,0,0,0,0
Ukraine,3,6,4,13
United Arab Emirates,0,0,1,1
United Kingdom,27,16,45,88
United States,46,28,29,103
Uruguay,0,0,0,0
Uzbekistan,2,1,6,9
Vanuatu,0,0,0,0
Vietnam,0,0,3,3
Yemen,0,0,0,0
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
